chunk_id,doc_id,chunk_index,title,category,chunk_text,chunk_word_count
19_1,19,1,"'If you have it, flaunt it' - West Indies icon Richards at 70 talks cricket style, friendship with Lord Botham and standing up to racism",unknown,"Former West Indies captain Sir Viv Richards, one of the greatest batters of all time, speaks to BBC Sport on his 70th birthday.",23
20_1,20,1,Family separated by war in Ukraine finally reunited,unknown,"Rita and her children were trapped in Ukraine when Russia invaded. After spending a week in their basement, they've finally been reunited with Rita's husband and their father Andy.",29
21_1,21,1,"Mercedes bullying led to Masi's removal as F1 race director, says Red Bull's Horner",unknown,"Red Bull team principal Christian Horner accuses rivals Mercedes of ""bullying"" behaviour resulting in the removal of race director Michael Masi.",21
22_1,22,1,Man Utd players want manager clarity amid uncertainty,unknown,Manchester United's players are becoming increasingly concerned at the managerial void at Old Trafford as their season continues to unravel.,20
23_1,23,1,Lynagh withdraws from England squad after positive Covid-19 test,unknown,Louis Lynagh withdraws from the England squad before Saturday's Six Nations meeting with Ireland following a positive test for Covid-19.,20
24_1,24,1,Cost of living: Warning UK faces biggest income squeeze in nearly 50 years,unknown,"The war in Ukraine will lead to an even tighter squeeze on living standards this spring, a think tank says.",20
25_1,25,1,Ukraine invasion: False claims the war is a hoax go viral,unknown,False claims have been spreading that the Ukraine war is a hoax and that actors have been involved in staging events.,21
26_1,26,1,Femicide detectives: 'Counting bodies is the best place to start',unknown,Many countries do not record femicide - the most extreme form of gender-based violence - so activists are doing it themselves.,21
27_1,27,1,Angel City FC: Eni Aluko on working for the Los Angeles franchise,unknown,"With Angel City FC kicking off their debut NWSL campaign this month, Eni Aluko tells BBC Sport about moving to LA and meeting the club's all-star backers.",27
28_1,28,1,Zverev given suspended eight-week ban for striking umpire's chair,unknown,World number three Alexander Zverev faces an eight-week ban from tennis if he repeats the behaviour which led to his expulsion from the Mexican Open.,25
29_1,29,1,'I'm very energised to take this team forward' - Root feels he is still right man to lead England,unknown,"Joe Root admits he thought ""long and hard"" about his future as England captain but believes he is the right man to ""take the team forward"".",26
30_1,30,1,International Women's Day: How Chelsea 'changed the game' in women's football,unknown,"Football Focus visits Women's Super League champions Chelsea to discover how their players, and their coach Emma Hayes, have changed women's football over the past few years.",27
31_1,31,1,"Fury's future plans, AJ's new coach and Khan's rematch ambition - Fight Talk",unknown,Will Tyson Fury hang up his gloves after facing Dillian Whyte? Plus Anthony Joshua announces new trainer and Amir Khan reportedly wants a rematch with Kell Brook. It's Fight Talk.,30
32_1,32,1,Zelensky's moments: From TV star to wartime leader,unknown,"Ukrainian President Volodymyr Zelensky, a comedian who had no experience of politics when elected, has emerged as a convincing war leader.",21
33_1,33,1,Sloppy England shocked by Windies at World Cup,unknown,England engineer their own downfall in a damaging seven-run defeat by West Indies at the Women's World Cup in Dunedin.,20
34_1,34,1,"Liverpool deserve quarter-final spot despite 'slapstick' finishing in loss to Inter, says Klopp",unknown,"Liverpool's seven-match winning run in the Champions League is ended by Inter Milan, but Jurgen Klopp's side progress to the quarter-finals with a 2-1 aggregate win.",26
35_1,35,1,Bairstow ton rescues England against West Indies,unknown,Jonny Bairstow's hundred rescues England after another batting collapse on day one of the first Test against West Indies in Antigua.,21
36_1,36,1,Lewandowski scores earliest Champions League hat-trick as Bayern hit seven,unknown,Robert Lewandowski scores the earliest ever Champions League hat-trick as Bayern Munich thrash Red Bull Salzburg 6-2 on aggregate to reach the quarter-finals.,23
37_1,37,1,Andy Murray pledges to donate prize money to help children in Ukraine,unknown,Andy Murray pledges to donate his earnings from prize money for the rest of the year to help children affected by Russia's invasion of Ukraine.,25
38_1,38,1,Djokovic pulls out of US events over Covid rules,unknown,Novak Djokovic withdraws from Indian Wells and the Miami Open - the first two Masters Series events of the year - because of US coronavirus rules.,26
39_1,39,1,Real Madrid 3-1 Paris St-Germain (3-2 agg): Karim Benzema hat-trick inspires superb Real fightback,unknown,Karim Benzema scores a superb second-half hat-trick as Real Madrid produce a stirring fightback at a raucous Bernabeu to reach the Champions League quarter-finals at the expense of Paris St-Germain.,30
40_1,40,1,The Capitol riot trial that tore a family apart,unknown,"Guy Reffitt was convicted of taking part in the 6 January riots, in part due to testimony from his own son.",21
41_1,41,1,England in West Indies: Tourists bowlers blunted on attritional second day in Antigua,unknown,A mixed showing from England's bowlers allows West Indies to edge an attritional second day of the first Test in Antigua.,21
42_1,42,1,'It's a team award' - Woods gives emotional speech in Hall of Fame induction,unknown,An emotional Tiger Woods chokes back the tears as he is inducted into the World Golf Hall of Fame on Wednesday after a moving speech by his 14-year-old daughter Sam.,30
43_1,43,1,Women share stories of running in public and their safety concerns,unknown,Is it too dark? Should I wear something different? BBC Sport looks at the reality of being a woman out running and what is done to make it safer.,29
44_1,44,1,Mazepin & father added to list of wealthy Russians sanctioned by EU,unknown,Ex-Haas driver Nikita Mazepin and his father Dmitry are added to a list of Russians sanctioned over the invasion of Ukraine.,21
45_1,45,1,Man City comfortably into Champions League last eight with draw,unknown,"Manchester City manager Pep Guardiola says he has learned to ""enjoy the moment"" as his side cruise into the quarter-finals of the Champions League with a 0-0 draw against Sporting Lisbon.",31
46_1,46,1,"'A crazy experience' - Liverpool's Harvey Elliott on injury, recovery and Champions League history",unknown,MOTDx meets Liverpool midfielder Harvey Elliott to discuss his family's role in his recovery from serious injury and their pride in his place in Champions League history,27
47_1,47,1,On the front line of the battle for Kharkiv,unknown,Quentin Sommerville and cameraman Darren Conway are with Ukrainian forces fighting to stop the Russian advance on the country's second city.,21
48_1,48,1,Twitter blocks Russian claims on hospital attack,unknown,Posts from the Russian embassy in the UK claiming the bombing of a maternity hospital was faked have been taken down.,21
49_1,49,1,Fans chant Abramovich's name at Chelsea win,unknown,Chelsea beat bottom club Norwich as Mason Mount scores one and makes another on the day his club's long-term future is thrown into uncertainty.,24
50_1,50,1,Roman Abramovich: What do Russian owner's sanctions mean for Chelsea?,unknown,What do sanctions imposed on Roman Abramovich mean for Chelsea and the club's supporters? BBC Sport answers some of the key questions.,22
51_1,51,1,Climate change: Can the Russian energy crisis help to curb global heating?,unknown,"An energy strategy is due - but can it get the UK off Russian gas, cut bills and help the environment?",21
52_1,52,1,England toil as Bonner hits century to put West Indies on top,unknown,An uninspiring England toil as Nkrumah Bonner's determined century puts West Indies on top after day three of the first Test in Antigua.,23
53_1,53,1,Commanding Rangers take big step towards Europa League quarter-finals,unknown,Rangers take a significant step towards the Europa League quarter-finals with a pulsating statement win over Red Star Belgrade at a raucous Ibrox.,23
54_1,54,1,Formula 1 testing: Red Bull unhappy with Mercedes upgrade in Bahrain,unknown,Mercedes are at the centre of a row over the legality of their car after introducing a radical new design at the second pre-season test.,25
55_1,55,1,Chelsea: Thomas Tuchel has faith in those in charge of club's future,unknown,Chelsea manager Thomas Tuchel is hopeful a solution will be found to keep the club going after sanctions were imposed on owner Roman Abramovich.,24
56_1,56,1,Chelsea thrash West Ham at end of 'difficult day' for club,unknown,Chelsea bounce back from their Continental Cup final defeat and thrash West Ham to go within five points of league leaders Arsenal with two games in hand.,27
57_1,57,1,Roman Abramovich: Chelsea have credit card facilities temporarily suspended,unknown,Chelsea's credit card facilities are temporarily suspended while banks assess the implications of the sanctions imposed on Russian billionaire owner Roman Abramovich.,22
58_1,58,1,France keep Six Nations Grand Slam dream alive,unknown,France keep alive their dreams of a first Grand Slam and Six Nations title since 2010 with a tense 13-9 victory over Wales.,23
59_1,59,1,England in West Indies: Zak Crawley hits hundred as tourists dominate day four in Antigua,unknown,Zak Crawley hits his second Test hundred as England dominate West Indies on day four of the first Test to set up an outside chance of victory.,27
60_1,60,1,UK visas for Ukrainian refugees: 'We don't deserve such an attitude',unknown,"Lena Kamolikova came from London to collect her Ukrainian mother Raisa, but they face a lengthy process to apply for a UK visa.",23
61_1,61,1,‘It was a nightmare in that place’,unknown,"For abuse survivors, Friday's apology has been hard fought - but the years of pain are as vivid as ever.",20
62_1,62,1,Raducanu into Indian Wells third round with win over Garcia,unknown,"Emma Raducanu gets past Caroline Garcia, while fellow Brit Harriet Dart overcomes Elina Svitolina to reach the third round at Indian Wells.",22
63_1,63,1,Murray beats Daniel at Indian Wells for 700th ATP win,unknown,Andy Murray fights back from a set down to beat Taro Daniel 1-6 6-2 6-4 in the first round at Indian Wells as he secures a 700th win on the ATP Tour.,32
64_1,64,1,Six Nations: 'Ireland will demand new level from new England',unknown,"England have promised physicality, but will also need unseen accuracy and ambition to derail a resurgent Ireland in Twickenham showdown.",20
65_1,65,1,Six Nations: France edge past Wales to keep Grand Slam hopes alive,unknown,Watch highlights as France keep alive their dreams of a first Grand Slam and Six Nations title since 2010 with a tense 13-9 win over Wales.,26
66_1,66,1,Women's World Cup: 'Sensational!' - Matthews takes brilliant catch to remove Sharma,unknown,"West Indies' Hayley Matthews takes a ""sensational"" catch at first slip to remove India's Deepti Sharma during their Women's World Cup match in Hamilton.",24
67_1,67,1,England in West Indies: Spirited tourists have to settle for draw in first Test,unknown,England have to settle for a draw in the first Test against West Indies despite a spirited performance on the final day in Antigua.,24
68_1,68,1,Russia sanctions: How the measures have changed daily life,unknown,Prices are rising in Russia and some goods are harder to buy. Here are ways sanctions are affecting daily life.,20
69_1,69,1,Indian evacuee: The kindness of Ukrainians saved my life,unknown,"From an airstrike bunker to his mum's relieved hugs, Vishnu tells how he and his dog fled Ukraine to India.",20
70_1,70,1,"West Indies draw a huge step forward, says England captain Root",unknown,"England's draw against West Indies in the first Test is a ""huge step forward"" after a ""difficult year"", says captain Joe Root.",22
71_1,71,1,How England's 14 men whipped up Twickenham crowd with stirring display,unknown,England shred the script that came with Charlie Ewels' early red card with a performance of ferocious defence and unstinting belief.,21
72_1,72,1,'Salah must decide if he wants icon status - or money' - will Liverpool forward stay at Anfield?,unknown,Mohamed Salah scores as Liverpool beat Brighton at the end of a week in which speculation around his future at the club continued.,23
73_1,73,1,MOTD analysis: How 'sensational' Cristiano Ronaldo dominated Tottenham Hotspur,unknown,Match of the Day pundits Alan Shearer and Jermaine Jenas highlight the contribution of Cristiano Ronaldo after his hat-trick helped Manchester United beat Tottenham Hotspur 3-2 at Old Trafford.,29
74_1,74,1,Six Nations highlights: Ireland beat England to keep alive Six Nations hopes,unknown,Watch highlights as Ireland keep their hopes of a Six Nations title alive with a 32-15 victory over 14-man England at Twickenham.,22
75_1,75,1,Tom Brady: NFL great makes retirement U-turn after just six weeks,unknown,"Tom Brady, one of the greatest players in the history of the NFL, is coming back for his 23rd season just a month after announcing his retirement.",27
76_1,76,1,Chelsea 1-0 Newcastle United: Kai Havertz's late goal gives hosts three points,unknown,Chelsea snatch a dramatic late winner to beat Newcastle in the first game at Stamford Bridge since Blues' Russian owner Roman Abramovich was sanctioned by the UK government.,28
77_1,77,1,Brent Renaud: Friend of US journalist killed in Ukraine speaks to BBC,unknown,"Mea last spoke to Brent four days ago, and says he was excited to work on a documentary in Ukraine.",20
78_1,78,1,'No doubt I'll stay until end of season' - Tuchel pledges future as Chelsea taking things 'day by day',unknown,"Chelsea boss Thomas Tuchel says he and his players should fight for everyone at the club after insisting he'll stay at least ""until the end of the season"".",28
79_1,79,1,'So emotional for me' - Ukraine's Yarmolenko scores as West Ham beat Aston Villa,unknown,Ukraine international Andriy Yarmolenko scores the opener against Aston Villa in his first West Ham appearance since the outbreak of war in his native country.,25
80_1,80,1,"Garth Crooks' Team of the Week: Ronaldo, Diaz, Eriksen, Yarmolenko, Rudiger",unknown,Who got Garth into trouble at the petrol station? Which striker might be a good buy for Arsenal? Find out in Garth Crooks' latest Team of the Week.,28
81_1,81,1,Matt Dawson column: England’s Ireland loss is gold dust for World Cup,unknown,Ex-England scrum-half Matt Dawson explains why England's loss to Ireland is gold dust and how they might beat France on Saturday.,21
82_1,82,1,Women's World Cup: Watch bizarre Nat Sciver dismissal for England against South Africa,unknown,Watch Nat Sciver's bizarre dismissal as the England all-rounder manages to hit it to slip off the back of her bat leaving England 42-3.,24
83_1,83,1,MOTD2 analysis: Could Patrick Bamford be the difference for Leeds United?,unknown,Match of the Day 2 pundit and ex-England striker Ian Wright highlights the contribution that Patrick Bamford made for Leeds United in Sunday's 2-1 win over Norwich City.,28
84_1,84,1,Cheltenham Festival 2022: What to watch out for at four-day meeting,unknown,What to watch out for as racing's four-day Cheltenham Festival starts on Tuesday with spectators back for the first time in two years.,23
85_1,85,1,Chelsea & Roman Abramovich: Is this a moment of reckoning for English football ownership?,unknown,"With the risk of clubs becoming involved in geopolitics now exposed, football authorities and the government face questions over ownership in English football this week.",25
86_1,86,1,Australian Smith holds off England's Casey to win Players Championship and $3.6m,unknown,Cameron Smith claims the biggest win of his career as a Players Championship that featured storm delays and near freezing temperatures concludes in warm sunshine at TPC Sawgrass in Florida.,30
87_1,87,1,Celtic ease by Dundee Utd into Scottish Cup last four,unknown,Giorgos Giakoumakis scores twice after Callum McGregor's opener as Celtic beat Dundee United to book their place in the semi-finals of the Scottish Cup.,24
88_1,88,1,Palace hold wasteful Man City to draw,unknown,Manchester City miss their chance to go six points clear at the top of the Premier League as they are held by Crystal Palace.,24
89_1,89,1,Women's World Cup: Perry & Gardner star as clinical Australia beat Windies,unknown,Ellyse Perry and Ashleigh Gardner take three wickets each in a clinical bowling performance by Australia as they beat West Indies by seven wickets.,24
90_1,90,1,The Western brands unable to leave Russia,unknown,"As many firms look to withdraw from Russia, some are unable to due to complex deals arranged in the country.",20
91_1,91,1,Ukraine: Putin will search for a way to save face,unknown,"What might Putin want, to be able to come out of the war looking good in the eyes of Russia's majority?",21
92_1,92,1,Ukraine war: One shell that destroyed a family,unknown,A woman recounts the moment her husband and son were killed by a Russian shell in the town of Irpin.,20
93_1,93,1,Why is turning to Saudi Arabia for oil so controversial?,unknown,"Nations like the US and UK need to keep in with Saudi Arabia, as they turn away from Russian oil.",20
94_1,94,1,FIA changes F1 safety car rules in wake of controversial 2021 title decider,unknown,Formula 1's safety car rules have been changed to make it impossible for a race to be conducted in the manner of 2021's controversial title decider.,26
95_1,95,1,Indian Wells: Britain's Harriet Dart beaten by Madison Keys in fourth round,unknown,British qualifier Harriet Dart loses in straight sets against American Madison Keys in the fourth round at Indian Wells in California.,21
96_1,96,1,Man United's Pogba reveals burglary at his home,unknown,Manchester United midfielder Paul Pogba says his home was burgled during his side's Champions League game against Atletico Madrid on Tuesday.,21
97_1,97,1,Liverpool beat Arsenal to close gap with Man City,unknown,"Liverpool close the gap on Premier League leaders Manchester City to a single point after beating Arsenal, who miss the chance to consolidate their place in the top four.",29
98_1,98,1,Why your fish and chips may cost a lot more,unknown,The conflict in Ukraine is a long way from the UK but it means fish and chip shops are seeing prices soar.,22
99_1,99,1,TV classic's radio revival to reveal what Our Friends in the North did next,unknown,The classic TV drama is adapted for the radio and brought up to date with a new episode set in 2020.,21
100_1,100,1,Arsenal 0-2 Liverpool: Relentless Reds throw down the gauntlet to Premier League leaders Man City,unknown,Liverpool manager Jurgen Klopp's triple fist pump after Wednesday's 2-0 win at Arsenal could just as easily have been the sound of a gauntlet being thrown down in front of Manchester City.,32
101_1,101,1,Root hits ton as England take command against West Indies,unknown,Joe Root punishes West Indies with yet another century as England take command on day one of the second Test in Barbados.,22
102_1,102,1,Arsenal 0-2 Liverpool: Jurgen Klopp excited for title fight with Man City,unknown,Liverpool manager Jurgen Klopp is pleased with how his side enjoyed fighting for victory in the second half of their 2-0 win at Arsenal.,24
103_1,103,1,Formula 1: 'We really click' - Max Verstappen and Red Bull ready for another season,unknown,"2021 Formula 1 world champion Max Verstappen talks to BBC Sport before the 2022 season, which starts with the Bahrain Grand Prix this weekend.",24
104_1,104,1,Kherson: Russian-occupied city stays angry and defiant,unknown,"More than a fortnight after falling under Russian occupation, the residents of Kherson are wrestling with acute shortages while protesting against the Kremlin's forces.",24
105_1,105,1,Ukraine's Yarmolenko gets Europa winner for West Ham,unknown,Ukrainian Andriy Yarmolenko scores the winning goal for West Ham as they beat Sevilla to reach the Europa League quarter-finals on an emotional night.,24
106_1,106,1,Sailor wanted for nuclear weapon test site in Suffolk,unknown,A sense of humour and dealing with all kinds of weather are among the qualities needed for a new ferry operator.,21
107_1,107,1,"Michael Collins: Lock of Irish leader's hair sells for £18,000",unknown,It is sold at auction in Belfast for more than double that of a gun he used during a jail break.,21
108_1,108,1,'I will take it for the three points' - Lampard breaks hand celebrating Everton winner,unknown,"Everton boss Frank Lampard was pleased with a ""night of togetherness"", despite suffering a broken hand when celebrating the winner.",20
109_1,109,1,Stokes rediscovers superhero status with stunning century against Windies,unknown,"After a difficult period, England all-rounder Ben Stokes rediscovers his best form and his superhero status with a sublime century against West Indies.",23
110_1,110,1,Four ways England can stop France winning their first Gland Slam for 12 years,unknown,"France have the champagne on ice as they hunt a first Grand Slam since 2010, but underdogs England can sniff some frailties in the title favourites.",26
111_1,111,1,"Red Star Belgrade 2-1 Rangers (2-4 agg): 'Our belief is only getting stronger,' says Van Bronckhorst",unknown,"Rangers boss Giovanni van Bronckhorst says his side's ""belief is only getting stronger"" after dispatching Red Star Belgrade in the Europa League last 16.",24
112_1,112,1,'Talking really helps' - Sidebottom among those who have struggled with transition to retirement,unknown,Former England bowler Ryan Sidebottom tells the BBC about the mental health problems he has suffered since the end of his playing career.,23
113_1,113,1,Fofana goal on comeback helps Leicester edge through,unknown,Wesley Fofana scored on his return after serious injury to help Leicester see off Rennes and move into the Europa Conference League quarter-finals.,23
114_1,114,1,Chelsea: Multiple bids lodged to buy Premier League club,unknown,"Chicago Cubs owners, a consortium featuring Lord Coe and another group led by British property investor Nick Candy all submit offers to buy Chelsea.",24
115_1,115,1,Ukraine war: Empty prams lined up in Lviv for children killed in war,unknown,Each of the 109 prams in Lviv are a tribute to the number of children who have died in the war so far.,23
116_1,116,1,Ukraine war in maps: Tracking the Russian invasion,unknown,Russian advances grind to a halt in many areas as Ukrainian forces launch counterattacks - but fighting is ongoing in Mariupol.,21
117_1,117,1,"Breathless, bruising, brilliant - reaction to Leeds' controversial win at Wolves",unknown,"Leeds' win at Wolves has a little bit of everything, leaving Wolves unhappy with the referee and Leeds with renewed belief.",21
118_1,118,1,Brathwaite and Blackwood centuries thwart wasteful England,unknown,A dogged unbeaten century from Kraigg Brathwaite and Jermaine Blackwood's 102 blunts England on day three of the second Test in Barbados.,22
119_1,119,1,High-definition France bring England struggles into focus,unknown,France are fully focused on their Grand Slam bid but England are searching for direction and shape as the pressure grows on head coach Eddie Jones.,26
120_1,120,1,Blackmore savours 'impossible dream' of Cheltenham Gold Cup triumph,unknown,"Pioneering jockey Rachael Blackmore says she fulfilled an ""impossible dream"" by becoming the first female rider to win the Cheltenham Gold Cup, with victory on A Plus Tard.",28
121_1,121,1,Johnson-Thompson withdraws from pentathlon at World Indoor Championships,unknown,"Britain's Katarina Johnson-Thompson says ""for me, this is a triumph"" after withdrawing from the pentathlon at the World Athletics Indoor Championships.",21
122_1,122,1,Six Nations: France beat England to sweep to Grand Slam,unknown,France strut to a first Grand Slam in 12 years as they run in three tries to comfortably see off England in front of a jubilant Stade de France.,29
123_1,123,1,UK holds plane with possible Russian ties,unknown,The jet is being held at London Biggin Hill airport while it is investigated if it falls under UK sanctions.,20
124_1,124,1,Sydney Harbour Bridge - the story of its opening 90 years ago,unknown,"On its 90th anniversary, the grandson of the iconic bridge's designer reveals what he went through to get it built.",20
125_1,125,1,"From waitress to cafe owner, all while still a teenager",unknown,Chloe Campbell was 15 when she got a job in a Moray cafe - four years later she is the new boss.,22
126_1,126,1,Ukraine: Brit finds refugee to host after Polish trip,unknown,A British man who flew to Poland to find a refugee to host says he is waiting to bring him to the UK.,23
127_1,127,1,England keep World Cup hopes alive with nail-biting victory,unknown,England are on course for a place in the semi-finals of the Women's World Cup after a nerve-shredding one-wicket win over hosts New Zealand.,24
128_1,128,1,Eddie Jones: England head coach says he has 'not done a good enough job',unknown,Eddie Jones says his performance as head coach has not been good enough after England finish third in the Six Nations with defeat by France.,25
129_1,129,1,England open up lead in second West Indies Test,unknown,England give themselves a slim chance of victory over West Indies in the second Test in Barbados by taking a lead of 136 into the final day.,27
130_1,130,1,Women's World Cup: Heather Knight takes 'unbelievable' catch to remove Lea Tahuhu,unknown,England skipper Heather Knight takes a stunning one-handed catch to remove New Zealand's Lea Tahuhu at the Women's World Cup.,20
131_1,131,1,Aspinall beats Volkov in first round at UFC London,unknown,British heavyweight Tom Aspinall claims the biggest win of his career by submitting Alexander Volkov in the first round at UFC London.,22
132_1,132,1,Morad Tahbaz: British-US national detained in Iran now in hotel,unknown,The Foreign Office says it will continue to push for Mr Tahbaz to be allowed to return home to the UK.,21
133_1,133,1,"Grenfell tragedy: Government is failing to act on inquiry report, says London mayor",unknown,"Delay puts lives at risk, says Sadiq Khan as he says London Fire Brigade have made changes asked of them.",20
134_1,134,1,Climate change: IPCC scientists to examine carbon removal in key report,unknown,There's likely to be a new emphasis on technology to suck CO2 from the air in IPCC report on mitigation.,20
135_1,135,1,Ukraine conflict: Emotional reunion of Ukrainian sisters at UK airport,unknown,Iryna has been waiting anxiously to find out if her sister Olya and her family would make it to the UK.,21
136_1,136,1,Six Nations Grand Slam: France sweep fans off their feet with glorious triumph,unknown,"A year out from a home World Cup, France's team, drawn from all parts of the country and society, revive memories of sporting triumphs past at the Stade de France.",30
137_1,137,1,England blunted by Brathwaite as second Test drawn,unknown,England are again thwarted by West Indies in an unlikely victory push as the second Test in Barbados ends in a tense draw.,23
138_1,138,1,"Liverpool & Man City: Two teams, three trophies left – who will win what? Danny Murphy analysis",unknown,"MOTD2 pundit Danny Murphy says whatever happens next, it has already been a very good season for Liverpool and Manchester City, but it could turn out to be a very special one.",32
139_1,139,1,Nottingham Forest 0-1 Liverpool: Jurgen Klopp's side set up semi-final date against Man City after edging past hosts,unknown,Liverpool will play Manchester City in the FA Cup semi-final at Wembley after they edge past Nottingham Forest in a pulsating quarter-final at the City Ground.,26
140_1,140,1,Fritz inflicts Nadal's first defeat of year in Indian Wells final,unknown,"Rafael Nadal suffers his first defeat of the year, beaten by Taylor Fritz in straight sets in the final at Indian Wells.",22
141_1,141,1,Teenage girl on e-scooter dies in crash with van in east London,unknown,"The van driver is with police but has not been arrested over the death of the girl, believed to be 14.",21
142_1,142,1,Sudan: BBC investigation shows abuse of female demonstrators,unknown,The BBC has identified a number of female protesters who have been physically and sexually assaulted by security forces in Sudan.,21
143_1,143,1,"'What he said is very, very dangerous' - Sutton says Lampard may regret Everton criticism",unknown,"Everton manager Frank Lampard may regret criticising his struggling squad and questioning their courage, says Premier League-winning striker Chris Sutton.",20
144_1,144,1,All England Badminton Championships: Malaysia's Lee Zii Jia records 372km/h backhand,unknown,Watch as Lee Zii Jia of Malaysia records a speed of 372km/h on his backhand point against Lakshya Sen of India in the All England Badminton Championships.,27
145_1,145,1,Florida governor rejects transgender swimmer's win,unknown,Florida governor Ron DeSantis signs a proclamation recognising runner-up Emma Weyant as the winner of the highest US national college swimming title.,22
146_1,146,1,The hunt for superyachts of sanctioned Russian oligarchs,unknown,"Wealthy Russians sanctioned by the US, EU and UK are having to find places they can keep their assets safe.",20
147_1,147,1,Teamsters: A sleeping American giant now spoiling for a fight,unknown,Teamsters were once known for Jimmy Hoffa and ties to the mob. Their new boss wants to take on Amazon.,20
148_1,148,1,When and where can I ride an e-scooter legally?,unknown,London is the latest UK city to trial e-scooters - which the government hopes will be a more environmentally-friendly way to travel.,22
149_1,149,1,Coronavirus: Where does the government borrow billions from?,unknown,"How does it work when a government wants to borrow money, and when does it have to pay it back?",20
150_1,150,1,Liverpool and Manchester mayors want FA Cup semi-final switched from Wembley,unknown,"The FA Cup semi-final between Liverpool and Manchester City should be moved from Wembley, say the mayors of both cities.",20
151_1,151,1,Ricketts family offers to meet Chelsea fans amid criticism of potential ownership,unknown,"The Ricketts family, which is aiming to buy Chelsea, says it will meet fans to allay concerns about its potential ownership.",21
152_1,152,1,Rafael Nadal out for up to six weeks with rib injury,unknown,"Rafael Nadal is ruled out for between four and six weeks because of a stress fracture of the rib, with the French Open starting on 22 May.",27
153_1,153,1,Barca come from behind to beat Real and take Women's Champions League first-leg advantage,unknown,Barcelona score two late goals as they come from behind to beat rivals Real Madrid and take the first-leg advantage in their Champions League quarter-final tie.,26
154_1,154,1,Cost of living: Calls for targeted help to cut energy bills,unknown,"Millions of people may have to spend less on food and clothing to afford higher bills, an energy boss says.",20
155_1,155,1,Ashleigh Barty: Retiring world number one says 'wait and see' on plans,unknown,"World number one Ashleigh Barty tells people to ""wait and see"" about her next move following her shock retirement at the age of 25.",24
